url,name,ingredient
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,boneless stewing beef
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,all-purpose flour
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,salt pepper
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,olive oil
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,red wine
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,yellow onion
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,garlic cloves
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,carrots
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,celery stalks
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,new potatoes
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,tomapaste
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,beef stock
https://www.williams-sonoma.com/recipe/20-minute-beef-stew.html,20-Minute Beef Stew,thyme sprigs
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,8-Hour Smoked Brisket,beef brisket
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,8-Hour Smoked Brisket,texas bbq dry rub
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,8-Hour Smoked Brisket,bbq mop sauce
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,8-Hour Smoked Brisket,spicy texas bbq sauce
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,8-Hour Smoked Brisket,texas bbq dry rub 
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,8-Hour Smoked Brisket,bbq mop sauce 
https://www.williams-sonoma.com/recipe/8-hour-smoked-brisket.html,8-Hour Smoked Brisket,spicy texas bbq sauce 
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,beef
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,pork
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,bread crumbs
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,eggs
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,parsley
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,oregano
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,garlic cloves
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,smoked paprika
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,salt pepper
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,olive oil
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,yellow onion
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,anchovy paste
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,sugar
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,sherry vinegar
https://www.williams-sonoma.com/recipe/albondigas.html,Albóndigas,crushed tomatoes
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,bone-in beef short ribs
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,salt pepper
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,yellow onions
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,garlic cloves
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,butternut squash
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,diced plum tomatoes
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,dark beer
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,all-purpose flour
https://www.williams-sonoma.com/recipe/ale-braised-short-ribs.html,Ale-Braised Short Ribs,water
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,yukon gold potatoes
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,beer
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,beef broth
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,spicy tomajuice
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,worcestershire sauce
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,hot-pepper sauce
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,thyme
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,oregano
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers, bay leaves
https://www.williams-sonoma.com/recipe/alehouse-beef-and-potato-skewers.html,Alehouse Beef-and-Potato Skewers,boneless sirloin
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,water
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,ancho chilies
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,garlic cloves
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,beef flank steak
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,anaheim chilies
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,red bell peppers
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,red onion
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,cumin
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,salt pepper
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,flour tortillas
https://www.williams-sonoma.com/recipe/ancho-chili-fajitas.html,Ancho Chili Fajitas,sour cream
https://www.williams-sonoma.com/recipe/anchor-steam-braised-short-ribs.html,Anchor Steam Braised Short Ribs,bone-in short ribs
https://www.williams-sonoma.com/recipe/anchor-steam-braised-short-ribs.html,Anchor Steam Braised Short Ribs,salt pepper
https://www.williams-sonoma.com/recipe/anchor-steam-braised-short-ribs.html,Anchor Steam Braised Short Ribs,vegetable oil
https://www.williams-sonoma.com/recipe/anchor-steam-braised-short-ribs.html,Anchor Steam Braised Short Ribs,steam braising sauce
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,whole chinese five spice
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,bone-in beef short ribs
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,olive oil
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,yellow onion
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,garlic cloves
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,plum wine
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,soy sauce
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,rice vinegar
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,sesame oil
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,chili garlic paste
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,ginger
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,orange
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,sugar 
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs.html,Asian Braised Short Ribs,steamed rice 
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,bone-in beef short ribs
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,grilling roasting rub*
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,canola oil
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,yellow onion
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,garlic cloves
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,orange juice
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,orange
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,beef stock
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,grilling roasting glaze
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,somen noodles
https://www.williams-sonoma.com/recipe/asian-braised-short-ribs-with-noodles.html,Asian Braised Short Ribs with Noodles,green onions
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,sesame oil
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,minced garlic
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,minced ginger
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,chili garlic sauce
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,green onions
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,honey
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,soy sauce
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,water
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,flanken-cut beef short ribs
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,hoisin sauce
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,edamame-scallion rice 
https://www.williams-sonoma.com/recipe/asian-style-short-ribs.html,Asian-Style Short Ribs,edamame-scallion rice 
https://www.williams-sonoma.com/recipe/bacon-wrapped-beef-tenderloin2.html,Bacon-Wrapped Beef Tenderloin,filets mignons
https://www.williams-sonoma.com/recipe/bacon-wrapped-beef-tenderloin2.html,Bacon-Wrapped Beef Tenderloin,olive oil
